"Year","DJFMAM","JJASON"
2017,"NaN","NaN"
2016,0.154,0.830
2015,0.103,0.663
2014,-0.067,0.528
2013,0.241,0.679
2012,0.431,0.623
2011,0.342,0.464
2010,0.378,0.633
2009,0.199,0.422
2008,0.297,0.536
2007,0.304,0.839
2006,0.202,0.610
2005,-0.034,0.718
2004,0.174,0.811
2003,0.188,0.657
2002,0.281,0.593
2001,0.131,0.585
2000,0.305,0.627
1999,0.397,0.430
1998,0.249,0.738
1997,0.291,0.623
1996,0.212,0.458
1995,0.304,0.478
1994,0.218,0.560
1993,0.048,0.544
1992,0.345,0.997
1991,0.201,0.629
1990,0.000,0.694
1989,0.363,0.520
1988,0.220,0.889
1987,0.121,0.781
1986,0.148,0.711
1985,0.121,0.581
1984,0.378,0.763
1983,0.056,0.563
1982,0.339,0.337
1981,0.116,0.556
1980,0.064,0.596
1979,0.261,0.630
1978,-0.049,0.578
1977,0.114,0.630
1976,0.380,0.739
1975,0.451,0.524
1974,0.256,0.789
1973,0.095,0.743
1972,0.434,0.665
1971,0.241,0.502
1970,0.161,0.711
1969,-0.014,1.057
1968,-0.005,0.482
1967,0.387,0.468
1966,0.347,0.645
1965,0.110,0.703
1964,0.382,0.659
1963,0.455,0.517
1962,0.489,0.899
1961,0.285,0.572
1960,0.424,0.663
1959,0.181,0.937
1958,0.259,0.736
1957,0.167,0.811
1956,0.181,0.870
1955,0.425,0.417
1954,0.205,0.712
1953,0.300,0.724
1952,0.421,0.533
1951,0.285,0.564
1950,0.245,0.662
1949,0.217,0.523
1948,0.296,0.591
1947,0.178,0.619
1946,0.391,0.360
1945,0.388,0.534
1944,0.220,0.717
1943,0.419,0.693
1942,-0.009,0.688
1941,0.172,0.513
1940,0.087,0.702
1939,0.280,0.594
1938,0.226,0.953
1937,0.037,0.639
1936,0.288,0.769
1935,0.229,0.608
1934,0.449,0.675
1933,0.189,0.797
1932,0.401,0.453
1931,0.151,0.340
1930,0.047,0.719
1929,0.342,0.559
1928,0.092,0.666
1927,0.119,0.645
1926,0.104,0.710
1925,0.417,0.546
1924,0.089,0.734
1923,0.271,0.685
