year,PLF,DTmedian,DT25,DT75
1000,0.117,0.477,0.267,1.068
1001,0.216,0.537,0.300,1.155
1002,0.315,0.588,0.323,1.225
1003,0.411,0.634,0.338,1.277
1004,0.502,0.677,0.347,1.310
1005,0.587,0.717,0.351,1.325
1006,0.661,0.754,0.353,1.323
1007,0.724,0.785,0.354,1.303
1008,0.771,0.807,0.354,1.265
1009,0.800,0.813,0.354,1.209
1010,0.811,0.803,0.354,1.134
1011,0.805,0.777,0.356,1.048
1012,0.784,0.739,0.359,0.956
1013,0.752,0.693,0.366,0.865
1014,0.714,0.645,0.375,0.780
1015,0.674,0.601,0.386,0.706
1016,0.637,0.564,0.399,0.647
1017,0.606,0.535,0.412,0.603
1018,0.583,0.515,0.425,0.571
1019,0.569,0.501,0.435,0.550
1020,0.562,0.492,0.442,0.536
1021,0.561,0.487,0.447,0.528
1022,0.562,0.483,0.449,0.523
1023,0.565,0.483,0.448,0.522
1024,0.566,0.482,0.445,0.520
1025,0.566,0.481,0.438,0.518
1026,0.562,0.479,0.428,0.517
1027,0.556,0.478,0.418,0.517
1028,0.547,0.479,0.407,0.518
1029,0.536,0.480,0.394,0.521
1030,0.522,0.481,0.379,0.525
1031,0.507,0.480,0.361,0.529
1032,0.487,0.476,0.338,0.532
1033,0.461,0.467,0.309,0.532
1034,0.425,0.448,0.268,0.524
1035,0.375,0.415,0.213,0.506
1036,0.310,0.364,0.139,0.471
1037,0.227,0.292,0.046,0.417
1038,0.129,0.198,-0.066,0.344
1039,0.019,0.088,-0.191,0.255
1040,-0.094,-0.033,-0.322,0.155
1041,-0.202,-0.152,-0.449,0.053
1042,-0.296,-0.261,-0.561,-0.040
1043,-0.367,-0.349,-0.652,-0.116
1044,-0.408,-0.409,-0.716,-0.169
1045,-0.418,-0.438,-0.747,-0.192
1046,-0.396,-0.433,-0.744,-0.186
1047,-0.348,-0.396,-0.708,-0.149
1048,-0.277,-0.329,-0.643,-0.085
1049,-0.193,-0.235,-0.549,0.003
1050,-0.102,-0.123,-0.433,0.106
1051,-0.010,0.003,-0.301,0.218
1052,0.076,0.130,-0.166,0.331
1053,0.152,0.247,-0.038,0.434
1054,0.215,0.345,0.070,0.520
1055,0.262,0.418,0.152,0.584
1056,0.293,0.462,0.202,0.623
1057,0.308,0.475,0.217,0.636
1058,0.306,0.458,0.199,0.624
1059,0.289,0.414,0.153,0.589
1060,0.260,0.350,0.087,0.535
1061,0.223,0.273,0.008,0.467
1062,0.183,0.189,-0.076,0.392
1063,0.144,0.107,-0.159,0.315
1064,0.111,0.035,-0.232,0.247
1065,0.089,-0.016,-0.287,0.196
1066,0.081,-0.042,-0.319,0.169
1067,0.091,-0.038,-0.324,0.169
1068,0.116,-0.011,-0.306,0.193
1069,0.155,0.036,-0.265,0.237
1070,0.203,0.092,-0.212,0.292
1071,0.254,0.144,-0.157,0.350
1072,0.302,0.180,-0.110,0.401
1073,0.340,0.189,-0.084,0.441
1074,0.363,0.167,-0.083,0.467
1075,0.369,0.111,-0.109,0.479
1076,0.358,0.030,-0.163,0.480
1077,0.332,-0.069,-0.233,0.473
1078,0.297,-0.175,-0.312,0.462
1079,0.259,-0.274,-0.388,0.450
1080,0.223,-0.352,-0.449,0.444
1081,0.197,-0.399,-0.489,0.442
1082,0.185,-0.411,-0.498,0.450
1083,0.189,-0.383,-0.475,0.468
